"filename", "language", "XML", "JavaScript JSX", "JavaScript", "CSS", "JSON", "YAML", "Markdown", "TypeScript", "Docker", "HTML", "comment", "blank", "total"
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/Homepage.css", "CSS", 0, 0, 0, 304, 0, 0, 0, 0, 0, 0, 3, 62, 369
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/Homepage.jsx", "JavaScript JSX", 0, 160, 0, 0, 0, 0, 0, 0, 0, 0, 9, 17, 186
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/PersonalVisionBoard.css", "CSS", 0, 0, 0, 328, 0, 0, 0, 0, 0, 0, 6, 48, 382
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/PersonalVisionBoard.jsx", "JavaScript JSX", 0, 237, 0, 0, 0, 0, 0, 0, 0, 0, 16, 22, 275
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoardDetail.css", "CSS", 0, 0, 0, 322, 0, 0, 0, 0, 0, 0, 1, 50, 373
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoardDetail.jsx", "JavaScript JSX", 0, 244, 0, 0, 0, 0, 0, 0, 0, 0, 12, 21, 277
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoards.css", "CSS", 0, 0, 0, 145, 0, 0, 0, 0, 0, 0, 0, 22, 167
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/pages/VisionBoards.jsx", "JavaScript JSX", 0, 113, 0, 0, 0, 0, 0, 0, 0, 0, 6, 11, 130
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/src/services/axiosInstance.js", "JavaScript", 0, 0, 25, 0, 0, 0, 0, 0, 0, 0, 7, 8, 40
"/Users/isaiaspalma/Documents/Professional/Work/CoLab/mvp-demo/my-mvp-app/vite.config.js", "JavaScript", 0, 0, 14, 0, 0, 0, 0, 0, 0, 0, 2, 2, 18
"Total", "-", 1, 2145, 76, 2487, 5031, 12, 38, 14, 8, 13, 160, 715, 10700
